"first.author","title","species","sex","age","lat","lon","study.location","study.date","tag.type","tag.mass","body.mass","forearm","body.mass.recap","date.retrieval","time.retieval","duration","landscape","emergence.firstnight","emergence.secondnight","em.both","flight.duration.firstnight","flight.duration.secondnight","fd.both","travelled.distance.firstnight","max.distance.roost.firstnight","travelled.distance.secondnight","max.distance.roost.secondnight","repository","ID.bat.tag","comment","scheduled_timeinterval_s","body.condition","rel.tag.mass","type"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","female","adult",53.348847,13.777486,"Dedelow Uckermark",2020-05-10,"ATLAS, TAU",1.2,28,54.9,NA,"","",NA,"farmland",12,NA,12,20,NA,20,3,0.4,NA,NA,"movebank, 1285310552","2356","",8,0.510018214936248,4.28571428571429,"< 5 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","female","adult",53.348847,13.777486,"Dedelow Uckermark",2020-05-10,"ATLAS, TAU",1.2,32,55.9,NA,"","",NA,"farmland",46,NA,46,11,NA,11,3,1.3,NA,NA,"movebank, 1285310556","2365","",8,0.572450805008945,3.75,"< 5 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","female","adult",53.348847,13.777486,"Dedelow Uckermark",2020-05-10,"ATLAS, TAU",1.2,27.5,54.3,NA,"","",NA,"farmland",NA,16,16,NA,32,32,NA,NA,10,6.1,"movebank, 1285310557","2366","",8,0.506445672191529,4.36363636363636,"< 5 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","female","adult",53.348847,13.777486,"Dedelow Uckermark",2020-05-10,"ATLAS, TAU",1.2,28,56,NA,"","",NA,"farmland",-12,NA,-12,70,NA,70,12,1.6,NA,NA,"movebank, 1285310559","2369","",8,0.5,4.28571428571429,"< 5 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","female","adult",53.348847,13.777486,"Dedelow Uckermark",2020-05-10,"ATLAS, TAU",1.2,29.5,56.2,NA,"","",NA,"farmland",27,NA,27,30,NA,30,11,2.3,NA,NA,"movebank, 1285310560","2370","",8,0.52491103202847,4.06779661016949,"< 5 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","female","adult",53.348847,13.777486,"Dedelow Uckermark",2020-05-10,"ATLAS, TAU",1.2,30,55.4,NA,"","",NA,"farmland",-12,NA,-12,73,NA,73,15,2.9,NA,NA,"movebank, 1285310562","2373","",8,0.541516245487365,4,"< 5 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","female","adult",53.348847,13.777486,"Dedelow Uckermark",2020-05-10,"ATLAS, TAU",1.2,26.5,53.8,NA,"","",NA,"farmland",-5,NA,-5,56,NA,56,14,1.9,NA,NA,"movebank, 1285310563","2375","",8,0.492565055762082,4.52830188679245,"< 5 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","female","adult",53.348847,13.777486,"Dedelow Uckermark",2020-07-23,"ATLAS, TAU",1.3,31,56.1,NA,"","",NA,"farmland",34,NA,34,33,NA,33,4,1,NA,NA,"movebank, 1285310536","2328","",8,0.552584670231729,4.19354838709677,"< 5 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","female","adult",53.348847,13.777486,"Dedelow Uckermark",2020-07-23,"ATLAS, TAU",1.3,29,55.3,NA,"","",NA,"farmland",39,NA,39,21,NA,21,6,2.1,NA,NA,"movebank, 1285310537","2329","",8,0.524412296564195,4.48275862068965,"< 5 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","female","adult",53.348847,13.777486,"Dedelow Uckermark",2020-07-23,"ATLAS, TAU",1.3,29,54,NA,"","",NA,"farmland",30,-32,30,32,49,32,5,1.5,13,2.8,"movebank, 1285310540","2332","",8,0.537037037037037,4.48275862068965,"< 5 %"
