date;species_german;species;number;tolerance_no;sex;age;bodymass;forearm; 5th_finger ;epiphyseal_joints;activity;testicles;epididymis;teats;ring_type;ring_no;ring_no_initially;ring_position;relatives;GPS_unit;location;box_type;box_no;type_of_occurrence_general;type_of_occurrence_special;observation_type;evidence_type;x_lim;y_lim;tolerance_xy;district;federal_state;ringer;data_unclear;comment;editing_stauts;shipment_Dresden
17.07.2020;Abendsegler;Nyctalus noctula;1;genau;m;juv.;25.5;54.1;;;;;;;N;A95354;;;;;Fledermauskastenrevier Prieros;;5;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
17.07.2020;Abendsegler;Nyctalus noctula;1;genau;m;juv.;25.5;52.4;;;;;;;N;A95355;;;;;Fledermauskastenrevier Prieros;;5;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
17.07.2020;Abendsegler;Nyctalus noctula;1;genau;m;juv.;24;53.8;;;;;;;N;A95356;;;;;Fledermauskastenrevier Prieros;;5;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
17.07.2020;Abendsegler;Nyctalus noctula;1;genau;f;juv.;22;54.3;;;;;;;N;A95357;;;;;Fledermauskastenrevier Prieros;;5;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
17.07.2020;Abendsegler;Nyctalus noctula;1;genau;f;juv.;25;55.6;;;;;;;N;A95358;;;;;Fledermauskastenrevier Prieros;;5;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
17.07.2020;Abendsegler;Nyctalus noctula;1;genau;f;juv.;25;55.2;;;;;;;N;A95359;;;;;Fledermauskastenrevier Prieros;;5;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
17.07.2020;Abendsegler;Nyctalus noctula;1;genau;f;juv.;26.5;56.6;;;;;;;N;A95360;;;;;Fledermauskastenrevier Prieros;;5;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
17.07.2020;Abendsegler;Nyctalus noctula;1;genau;m;juv.;23;52.8;;;;;;;N;A95361;;;;;Fledermauskastenrevier Prieros;;5;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
17.07.2020;Abendsegler;Nyctalus noctula;1;genau;f;juv.;26.5;56.8;;;;;;;N;A95362;;;;;Fledermauskastenrevier Prieros;;5;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
17.07.2020;Abendsegler;Nyctalus noctula;1;genau;f;juv.;24.5;54.1;;;;;;;N;A95363;;;;;Fledermauskastenrevier Prieros;;5;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
17.07.2020;Abendsegler;Nyctalus noctula;1;genau;m;juv.;28.5;54.1;;;;;;;N;A95364;;;;;Fledermauskastenrevier Prieros;;5;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
17.07.2020;Abendsegler;Nyctalus noctula;1;genau;f;juv.;22.5;53.5;;;;;;;N;A95365;;;;;Fledermauskastenrevier Prieros;;5;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
17.07.2020;Abendsegler;Nyctalus noctula;1;genau;m;juv.;26;53.6;;;;;;;N;A95366;;;;;Fledermauskastenrevier Prieros;;5;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
17.07.2020;Abendsegler;Nyctalus noctula;1;genau;m;juv.;25.5;53.3;;;;;;;N;A95367;;;;;Fledermauskastenrevier Prieros;;5;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
17.07.2020;Abendsegler;Nyctalus noctula;1;genau;m;juv.;27;53.6;;;;;;;N;A95368;;;;;Fledermauskastenrevier Prieros;;5;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
17.07.2020;Abendsegler;Nyctalus noctula;1;genau;f;juv.;25.5;54.9;;;;;;;N;A95369;;;;;Fledermauskastenrevier Prieros;;5;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
17.07.2020;Abendsegler;Nyctalus noctula;1;genau;f;juv.;17.5;51;;;;;;;N;A95370;;;;;Fledermauskastenrevier Prieros;;5;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
17.07.2020;Abendsegler;Nyctalus noctula;1;genau;f;juv.;24;54;;;;;;;N;A95371;;;;;Fledermauskastenrevier Prieros;;5;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
