first.author;title;species;sex;age;lat;lon;study.location;study.date;tag.type;tag.mass;body.mass;forearm;body.mass.recap;date.retrieval;time.retieval;duration;landscape ;emergence.firstnight;emergence.secondnight;em.both;flight.duration.firstnight;flight.duration.secondnight;fd.both;travelled.distance.firstnight;max.distance.roost.firstnight;travelled.distance.secondnight;max.distance.roost.secondnight;health.problems;repository;ID.bat/tag;comment;scheduled_timeinterval_s
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;10.05.2020;ATLAS, TAU;1.2;30;55.4;NA;;;NA;farmland;-13;NA;-13;69;NA;69;16;2.2;NA;NA;no;movebank, 1285310535;2327;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;10.05.2020;ATLAS, TAU;1.2;26.5;54.7;NA;;;NA;farmland;-12;NA;-12;29;NA;29;10;4.7;NA;NA;no;movebank, 1285310538;2330;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;10.05.2020;ATLAS, TAU;1.2;29.5;NA;NA;;;NA;farmland;-13;NA;-13;71;NA;71;12;1.7;NA;NA;no;movebank, 1285310539;2331;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;10.05.2020;ATLAS, TAU;1.2;25.5;53.7;NA;;;NA;farmland;-13;NA;-13;37;NA;37;6;1.8;NA;NA;no;movebank, 1285310542;2338;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;10.05.2020;ATLAS, TAU;1.2;27.5;55.4;NA;;;NA;farmland;-12;NA;-12;71;NA;71;10;1.7;NA;NA;no;movebank, 1285310546;2346;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;10.05.2020;ATLAS, TAU;1.2;30.5;55.4;NA;;;NA;farmland;-13;NA;-13;74;NA;74;14;3.8;NA;NA;no;movebank, 1285310551;2355;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;10.05.2020;ATLAS, TAU;1.2;28;54.9;NA;;;NA;farmland;12;NA;12;20;NA;20;3;0.4;NA;NA;no;movebank, 1285310552;2356;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;10.05.2020;ATLAS, TAU;1.2;32;55.9;NA;;;NA;farmland;46;NA;46;11;NA;11;3;1.3;NA;NA;no;movebank, 1285310556;2365;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;10.05.2020;ATLAS, TAU;1.2;27.5;54.3;NA;;;NA;farmland;NA;16;16;NA;32;32;NA;NA;10;6.1;no;movebank, 1285310557;2366;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;10.05.2020;ATLAS, TAU;1.2;28;56;NA;;;NA;farmland;-12;NA;-12;70;NA;70;12;1.6;NA;NA;no;movebank, 1285310559;2369;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;10.05.2020;ATLAS, TAU;1.2;29.5;56.2;NA;;;NA;farmland;27;NA;27;30;NA;30;11;2.3;NA;NA;no;movebank, 1285310560;2370;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;10.05.2020;ATLAS, TAU;1.2;30;55.4;NA;;;NA;farmland;-12;NA;-12;73;NA;73;15;2.9;NA;NA;no;movebank, 1285310562;2373;;8
